reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,1,0,2,50,0.98,6,0,-6,f,m4~41-v1.tif,f5~58-v1.tif,6.728530587505445
8,5,1,2,50,0.98,6,0,-3,f,m2~21-v1.tif,f5~54-v1.tif,5.247535670205781
8,1,2,2,50,0.98,6,0,-7,f,m2~27-v1.tif,f1~12-v1.tif,5.269765780722259
8,2,3,2,50,0.98,6,0,-6,f,m1~19-v1.tif,f3~39-v1.tif,4.165284335967525
8,5,4,2,50,0.98,6,0,-3,f,m1~17-v1.tif,f1~15-v1.tif,8.040109133917646
7,4,5,2,50,0.98,6,0,-3,f,m3~36-v1.tif,f3~36-v1.tif,5.238837853945551
7,6,6,2,50,0.98,6,0,-1,f,m2~210-v1.tif,f2~23-v1.tif,8.856884394409434
5,3,7,2,50,0.98,6,0,-2,f,m4~49-v1.tif,f3~32-v1.tif,5.711981215914887
5,5,8,2,50,0.98,6,0,0,f,m4~42-v1.tif,f5~52-v1.tif,5.954477268077195
5,5,9,2,50,0.98,6,0,0,f,m5~52-v1.tif,f5~54-v1.tif,4.408469211814025
6,5,10,2,50,0.98,6,0,-1,f,m1~15-v1.tif,f5~56-v1.tif,4.909160992867468
7,6,11,2,50,0.98,6,0,-1,f,m5~56-v1.tif,f3~36-v1.tif,4.051608624986506
4,8,12,2,50,0.98,6,0,4,m,m1~18-v1.tif,f4~46-v1.tif,4.594296524886621
5,5,13,2,50,0.98,6,0,0,f,m5~54-v1.tif,f5~54-v1.tif,6.48224837898673
5,3,14,2,50,0.98,6,0,-2,f,m5~52-v1.tif,f1~14-v1.tif,4.790460945071634
8,4,15,2,50,0.98,6,0,-4,f,m3~32-v1.tif,f5~51-v1.tif,5.405335064316627
5,2,16,2,50,0.98,6,0,-3,f,m2~26-v1.tif,f4~41-v1.tif,5.716841751588203
3,1,17,2,50,0.98,6,0,-2,f,m3~32-v1.tif,f2~23-v1.tif,4.325172031620458
5,1,18,2,50,0.98,6,0,-4,f,m4~41-v1.tif,f4~42-v1.tif,5.902750703935062
6,4,19,2,50,0.98,6,0,-2,f,m1~13-v1.tif,f5~56-v1.tif,4.672641784064526
7,4,20,2,50,0.98,6,0,-3,f,m5~54-v1.tif,f1~13-v1.tif,5.0375854164133695
4,5,21,2,50,0.98,6,0,1,m,m3~35-v1.tif,f2~21-v1.tif,4.494463346155824
1,2,22,2,50,0.98,6,0,1,m,m3~33-v1.tif,f2~22-v1.tif,5.1883480866805165
-1,5,23,2,50,0.98,6,0,6,m,m1~16-v1.tif,f3~39-v1.tif,6.545542626431706
0,4,24,2,50,0.98,6,0,4,m,m3~33-v1.tif,f2~21-v1.tif,6.820784834821241
0,1,25,2,50,0.98,6,0,1,m,m1~18-v1.tif,f3~38-v1.tif,5.8441650407447145
2,4,26,2,50,0.98,6,0,2,m,m3~33-v1.tif,f3~33-v1.tif,5.898642076613212
5,5,27,2,50,0.98,6,0,0,f,m2~24-v1.tif,f4~46-v1.tif,7.304394826706395
4,8,28,2,50,0.98,6,0,4,m,m1~19-v1.tif,f1~11-v1.tif,6.25637619653901
3,6,29,2,50,0.98,6,0,3,m,m3~35-v1.tif,f1~13-v1.tif,9.087474995365096
4,7,30,2,50,0.98,6,0,3,m,m4~43-v1.tif,f5~57-v1.tif,6.231428133579314
4,3,31,2,50,0.98,6,0,-1,f,m1~12-v1.tif,f3~38-v1.tif,8.356480786556055
1,1,32,2,50,0.98,6,0,0,f,m4~46-v1.tif,f5~57-v1.tif,4.497430254952074
2,1,33,2,50,0.98,6,0,-1,f,m3~36-v1.tif,f3~36-v1.tif,4.243137373501646
2,1,34,2,50,0.98,6,0,-1,f,m5~53-v1.tif,f4~44-v1.tif,4.097020827194561
