reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,0,0,1,50,0.98,6,0,-7,f,m4~41-v1.tif,f5~58-v1.tif,4.491033180048739
4,-1,1,1,50,0.98,6,0,-5,f,m2~21-v1.tif,f5~54-v1.tif,7.831771656588215
6,1,2,1,50,0.98,6,0,-5,f,m2~27-v1.tif,f1~12-v1.tif,5.767850145453997
6,0,3,1,50,0.98,6,0,-6,f,m1~19-v1.tif,f3~39-v1.tif,6.788331076092369
6,2,4,1,50,0.98,6,0,-4,f,m1~17-v1.tif,f1~15-v1.tif,8.056661550743748
8,6,5,1,50,0.98,6,0,-2,f,m3~36-v1.tif,f3~36-v1.tif,7.867725198467286
7,7,6,1,50,0.98,6,0,0,f,m2~210-v1.tif,f2~23-v1.tif,6.313907520837713
8,6,7,1,50,0.98,6,0,-2,f,m4~49-v1.tif,f3~32-v1.tif,6.079654230617065
9,3,8,1,50,0.98,6,0,-6,f,m4~42-v1.tif,f5~52-v1.tif,4.816364010831771
12,3,9,1,50,0.98,6,0,-9,f,m5~52-v1.tif,f5~54-v1.tif,4.008296818955293
9,1,10,1,50,0.98,6,0,-8,f,m1~15-v1.tif,f5~56-v1.tif,4.983569482812304
6,2,11,1,50,0.98,6,0,-4,f,m5~56-v1.tif,f3~36-v1.tif,5.863283060823747
3,2,12,1,50,0.98,6,0,-1,f,m1~18-v1.tif,f4~46-v1.tif,8.041512250098371
6,2,13,1,50,0.98,6,0,-4,f,m5~54-v1.tif,f5~54-v1.tif,4.790413778106221
7,3,14,1,50,0.98,6,0,-4,f,m5~52-v1.tif,f1~14-v1.tif,5.405256718478158
4,2,15,1,50,0.98,6,0,-2,f,m3~32-v1.tif,f5~51-v1.tif,5.714903195948104
4,3,16,1,50,0.98,6,0,-1,f,m2~26-v1.tif,f4~41-v1.tif,4.856799319338056
5,1,17,1,50,0.98,6,0,-4,f,m3~32-v1.tif,f2~23-v1.tif,4.263556646423125
3,4,18,1,50,0.98,6,0,1,m,m4~41-v1.tif,f4~42-v1.tif,7.596464497047828
3,2,19,1,50,0.98,6,0,-1,f,m1~13-v1.tif,f5~56-v1.tif,9.20578482446044
3,2,20,1,50,0.98,6,0,-1,f,m5~54-v1.tif,f1~13-v1.tif,4.597357531957267
4,2,21,1,50,0.98,6,0,-2,f,m3~35-v1.tif,f2~21-v1.tif,9.33912256153895
8,2,22,1,50,0.98,6,0,-6,f,m3~33-v1.tif,f2~22-v1.tif,4.180725408422183
6,0,23,1,50,0.98,6,0,-6,f,m1~16-v1.tif,f3~39-v1.tif,7.598515188616725
5,2,24,1,50,0.98,6,0,-3,f,m3~33-v1.tif,f2~21-v1.tif,5.943193450074631
5,6,25,1,50,0.98,6,0,1,m,m1~18-v1.tif,f3~38-v1.tif,5.116142408846756
5,1,26,1,50,0.98,6,0,-4,f,m3~33-v1.tif,f3~33-v1.tif,4.45552818382888
5,2,27,1,50,0.98,6,0,-3,f,m2~24-v1.tif,f4~46-v1.tif,4.226952084087138
4,3,28,1,50,0.98,6,0,-1,f,m1~19-v1.tif,f1~11-v1.tif,5.253108281394049
4,5,29,1,50,0.98,6,0,1,m,m3~35-v1.tif,f1~13-v1.tif,7.156539281184267
5,6,30,1,50,0.98,6,0,1,m,m4~43-v1.tif,f5~57-v1.tif,5.9061276380476055
6,6,31,1,50,0.98,6,0,0,f,m1~12-v1.tif,f3~38-v1.tif,5.368581627371592
5,6,32,1,50,0.98,6,0,1,m,m4~46-v1.tif,f5~57-v1.tif,7.0537561033372995
2,7,33,1,50,0.98,6,0,5,m,m3~36-v1.tif,f3~36-v1.tif,7.885426101568715
2,8,34,1,50,0.98,6,0,6,m,m5~53-v1.tif,f4~44-v1.tif,4.894726300569261
4,5,35,1,50,0.98,6,0,1,m,m4~48-v1.tif,f3~35-v1.tif,5.321140916164364
4,5,36,1,50,0.98,6,0,1,m,m2~24-v1.tif,f2~21-v1.tif,5.008882898760196
2,8,37,1,50,0.98,6,0,6,m,m1~18-v1.tif,f3~38-v1.tif,4.700139963035109
3,9,38,1,50,0.98,6,0,6,m,m2~29-v1.tif,f3~36-v1.tif,6.788074318703678
5,11,39,1,50,0.98,6,0,6,m,m5~54-v1.tif,f3~31-v1.tif,6.09337780900684
5,8,40,1,50,0.98,6,0,3,m,m5~56-v1.tif,f3~39-v1.tif,4.617532910518076
5,8,41,1,50,0.98,6,0,3,m,m3~34-v1.tif,f5~55-v1.tif,5.842462813445517
4,6,42,1,50,0.98,6,0,2,m,m3~33-v1.tif,f3~34-v1.tif,7.35910815610216
4,4,43,1,50,0.98,6,0,0,f,m2~27-v1.tif,f5~54-v1.tif,5.545677080267702
5,4,44,1,50,0.98,6,0,-1,f,m4~49-v1.tif,f2~26-v1.tif,5.000518678165349
2,2,45,1,50,0.98,6,0,0,f,m2~27-v1.tif,f5~52-v1.tif,6.970118027244716
7,5,46,1,50,0.98,6,0,-2,f,m4~44-v1.tif,f5~59-v1.tif,4.267567781431245
4,7,47,1,50,0.98,6,0,3,m,m1~15-v1.tif,f4~42-v1.tif,4.007417635601177
5,7,48,1,50,0.98,6,0,2,m,m4~44-v1.tif,f2~26-v1.tif,9.537921941048026
6,7,49,1,50,0.98,6,0,1,m,m4~43-v1.tif,f3~34-v1.tif,4.239161351699561
5,6,50,1,50,0.98,6,0,1,m,m2~22-v1.tif,f2~25-v1.tif,8.220518243681742
4,9,51,1,50,0.98,6,0,5,m,m1~12-v1.tif,f5~510-v1.tif,4.319234875895244
3,5,52,1,50,0.98,6,0,2,m,m2~26-v1.tif,f5~59-v1.tif,6.67368317340853
2,4,53,1,50,0.98,6,0,2,m,m4~49-v1.tif,f5~510-v1.tif,4.2741531465502645
-1,3,54,1,50,0.98,6,0,4,m,m4~45-v1.tif,f5~510-v1.tif,5.877108818421931
3,4,55,1,50,0.98,6,0,1,m,m4~44-v1.tif,f4~44-v1.tif,4.085156904069513
