reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,2,0,2,50,0.98,6,0,-5,f,m4~41-v1.tif,f5~58-v1.tif,4.2385452055592365
4,0,1,2,50,0.98,6,0,-4,f,m2~21-v1.tif,f5~54-v1.tif,4.301961082020305
5,-1,2,2,50,0.98,6,0,-6,f,m2~27-v1.tif,f1~12-v1.tif,4.043929465966945
4,1,3,2,50,0.98,6,0,-3,f,m1~19-v1.tif,f3~39-v1.tif,9.950085661802618
3,3,4,2,50,0.98,6,0,0,f,m1~17-v1.tif,f1~15-v1.tif,7.0656638064727595
3,6,5,2,50,0.98,6,0,3,m,m3~36-v1.tif,f3~36-v1.tif,5.150342569576432
6,6,6,2,50,0.98,6,0,0,f,m2~210-v1.tif,f2~23-v1.tif,5.224424052669981
9,7,7,2,50,0.98,6,0,-2,f,m4~49-v1.tif,f3~32-v1.tif,5.641207434911472
10,9,8,2,50,0.98,6,0,-1,f,m4~42-v1.tif,f5~52-v1.tif,7.820711247968992
9,9,9,2,50,0.98,6,0,0,f,m5~52-v1.tif,f5~54-v1.tif,4.462555330900258
9,10,10,2,50,0.98,6,0,1,m,m1~15-v1.tif,f5~56-v1.tif,4.878729607431205
8,7,11,2,50,0.98,6,0,-1,f,m5~56-v1.tif,f3~36-v1.tif,6.417982328261347
5,7,12,2,50,0.98,6,0,2,m,m1~18-v1.tif,f4~46-v1.tif,8.53962114983039
6,7,13,2,50,0.98,6,0,1,m,m5~54-v1.tif,f5~54-v1.tif,8.829395624219206
3,9,14,2,50,0.98,6,0,6,m,m5~52-v1.tif,f1~14-v1.tif,8.17259797749351
3,9,15,2,50,0.98,6,0,6,m,m3~32-v1.tif,f5~51-v1.tif,4.579227660774713
0,8,16,2,50,0.98,6,0,8,m,m2~26-v1.tif,f4~41-v1.tif,4.8682597676295805
-1,11,17,2,50,0.98,6,0,12,m,m3~32-v1.tif,f2~23-v1.tif,8.936922403975535
-3,8,18,2,50,0.98,6,0,11,m,m4~41-v1.tif,f4~42-v1.tif,4.139014589144165
-3,11,19,2,50,0.98,6,0,14,m,m1~13-v1.tif,f5~56-v1.tif,6.743342297307463
0,11,20,2,50,0.98,6,0,11,m,m5~54-v1.tif,f1~13-v1.tif,9.168065391650202
1,9,21,2,50,0.98,6,0,8,m,m3~35-v1.tif,f2~21-v1.tif,7.580509815624589
1,7,22,2,50,0.98,6,0,6,m,m3~33-v1.tif,f2~22-v1.tif,7.717285795223207
0,8,23,2,50,0.98,6,0,8,m,m1~16-v1.tif,f3~39-v1.tif,5.945026012827579
-1,8,24,2,50,0.98,6,0,9,m,m3~33-v1.tif,f2~21-v1.tif,4.468777261432351
4,8,25,2,50,0.98,6,0,4,m,m1~18-v1.tif,f3~38-v1.tif,7.91054986677247
4,7,26,2,50,0.98,6,0,3,m,m3~33-v1.tif,f3~33-v1.tif,6.120176279490045
4,7,27,2,50,0.98,6,0,3,m,m2~24-v1.tif,f4~46-v1.tif,4.953408325279776
8,4,28,2,50,0.98,6,0,-4,f,m1~19-v1.tif,f1~11-v1.tif,9.038237330059147
8,3,29,2,50,0.98,6,0,-5,f,m3~35-v1.tif,f1~13-v1.tif,5.974427166606905
7,1,30,2,50,0.98,6,0,-6,f,m4~43-v1.tif,f5~57-v1.tif,5.3094923340096125
10,1,31,2,50,0.98,6,0,-9,f,m1~12-v1.tif,f3~38-v1.tif,4.646267378294938
10,1,32,2,50,0.98,6,0,-9,f,m4~46-v1.tif,f5~57-v1.tif,4.520805459634357
9,2,33,2,50,0.98,6,0,-7,f,m3~36-v1.tif,f3~36-v1.tif,5.077329146990479
