reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
9,2,0,1,50,0.98,6,0,-7,f,m4~41-v1.tif,f5~58-v1.tif,5.07553993830308
8,2,1,1,50,0.98,6,0,-6,f,m2~21-v1.tif,f5~54-v1.tif,5.538433117999254
6,3,2,1,50,0.98,6,0,-3,f,m2~27-v1.tif,f1~12-v1.tif,4.643682654688761
9,2,3,1,50,0.98,6,0,-7,f,m1~19-v1.tif,f3~39-v1.tif,6.619056753409996
6,4,4,1,50,0.98,6,0,-2,f,m1~17-v1.tif,f1~15-v1.tif,4.507095009016943
5,5,5,1,50,0.98,6,0,0,f,m3~36-v1.tif,f3~36-v1.tif,6.061833849274843
3,6,6,1,50,0.98,6,0,3,m,m2~210-v1.tif,f2~23-v1.tif,4.112772386717637
3,3,7,1,50,0.98,6,0,0,f,m4~49-v1.tif,f3~32-v1.tif,5.912148084491684
4,3,8,1,50,0.98,6,0,-1,f,m4~42-v1.tif,f5~52-v1.tif,7.682804029534939
4,5,9,1,50,0.98,6,0,1,m,m5~52-v1.tif,f5~54-v1.tif,4.308855294699477
0,7,10,1,50,0.98,6,0,7,m,m1~15-v1.tif,f5~56-v1.tif,4.550959683786044
1,7,11,1,50,0.98,6,0,6,m,m5~56-v1.tif,f3~36-v1.tif,4.174592715038302
2,5,12,1,50,0.98,6,0,3,m,m1~18-v1.tif,f4~46-v1.tif,4.240941151891389
3,5,13,1,50,0.98,6,0,2,m,m5~54-v1.tif,f5~54-v1.tif,6.780697801205569
5,9,14,1,50,0.98,6,0,4,m,m5~52-v1.tif,f1~14-v1.tif,6.4100916435346305
6,9,15,1,50,0.98,6,0,3,m,m3~32-v1.tif,f5~51-v1.tif,6.496898350795914
5,10,16,1,50,0.98,6,0,5,m,m2~26-v1.tif,f4~41-v1.tif,8.448836387576362
5,8,17,1,50,0.98,6,0,3,m,m3~32-v1.tif,f2~23-v1.tif,4.800455856601768
3,6,18,1,50,0.98,6,0,3,m,m4~41-v1.tif,f4~42-v1.tif,4.995356020614425
4,8,19,1,50,0.98,6,0,4,m,m1~13-v1.tif,f5~56-v1.tif,4.850095868462254
4,7,20,1,50,0.98,6,0,3,m,m5~54-v1.tif,f1~13-v1.tif,9.062788458693529
1,7,21,1,50,0.98,6,0,6,m,m3~35-v1.tif,f2~21-v1.tif,7.9913268563980315
0,6,22,1,50,0.98,6,0,6,m,m3~33-v1.tif,f2~22-v1.tif,5.108217097160253
0,4,23,1,50,0.98,6,0,4,m,m1~16-v1.tif,f3~39-v1.tif,5.914339921617046
0,5,24,1,50,0.98,6,0,5,m,m3~33-v1.tif,f2~21-v1.tif,5.608758521705479
-3,7,25,1,50,0.98,6,0,10,m,m1~18-v1.tif,f3~38-v1.tif,5.001712093505432
-5,11,26,1,50,0.98,6,0,16,m,m3~33-v1.tif,f3~33-v1.tif,4.10262923577777
1,8,27,1,50,0.98,6,0,7,m,m2~24-v1.tif,f4~46-v1.tif,5.938125236328538
1,9,28,1,50,0.98,6,0,8,m,m1~19-v1.tif,f1~11-v1.tif,4.702178817633426
3,6,29,1,50,0.98,6,0,3,m,m3~35-v1.tif,f1~13-v1.tif,6.856203947449673
4,5,30,1,50,0.98,6,0,1,m,m4~43-v1.tif,f5~57-v1.tif,5.234496549199616
4,-1,31,1,50,0.98,6,0,-5,f,m1~12-v1.tif,f3~38-v1.tif,4.874856812256362
3,-3,32,1,50,0.98,6,0,-6,f,m4~46-v1.tif,f5~57-v1.tif,4.240955221248626
3,0,33,1,50,0.98,6,0,-3,f,m3~36-v1.tif,f3~36-v1.tif,6.541692440896484
2,3,34,1,50,0.98,6,0,1,m,m5~53-v1.tif,f4~44-v1.tif,8.900856495422374
3,5,35,1,50,0.98,6,0,2,m,m4~48-v1.tif,f3~35-v1.tif,4.571351834839558
4,2,36,1,50,0.98,6,0,-2,f,m2~24-v1.tif,f2~21-v1.tif,4.078684372564992
3,4,37,1,50,0.98,6,0,1,m,m1~18-v1.tif,f3~38-v1.tif,5.260003614965369
2,4,38,1,50,0.98,6,0,2,m,m2~29-v1.tif,f3~36-v1.tif,6.111290657041169
6,7,39,1,50,0.98,6,0,1,m,m5~54-v1.tif,f3~31-v1.tif,5.1058946348349865
5,4,40,1,50,0.98,6,0,-1,f,m5~56-v1.tif,f3~39-v1.tif,7.49363801143742
7,3,41,1,50,0.98,6,0,-4,f,m3~34-v1.tif,f5~55-v1.tif,5.816742632361152
7,4,42,1,50,0.98,6,0,-3,f,m3~33-v1.tif,f3~34-v1.tif,5.884979183626991
11,2,43,1,50,0.98,6,0,-9,f,m2~27-v1.tif,f5~54-v1.tif,4.845732756778001
11,4,44,1,50,0.98,6,0,-7,f,m4~49-v1.tif,f2~26-v1.tif,6.492037566944104
11,4,45,1,50,0.98,6,0,-7,f,m2~27-v1.tif,f5~52-v1.tif,7.700430195940838
13,2,46,1,50,0.98,6,0,-11,f,m4~44-v1.tif,f5~59-v1.tif,8.427739156116264
14,-1,47,1,50,0.98,6,0,-15,f,m1~15-v1.tif,f4~42-v1.tif,5.64587933888048
12,3,48,1,50,0.98,6,0,-9,f,m4~44-v1.tif,f2~26-v1.tif,5.171694955788176
12,3,49,1,50,0.98,6,0,-9,f,m4~43-v1.tif,f3~34-v1.tif,5.599855381068159
15,5,50,1,50,0.98,6,0,-10,f,m2~22-v1.tif,f2~25-v1.tif,5.146032034276482
13,5,51,1,50,0.98,6,0,-8,f,m1~12-v1.tif,f5~510-v1.tif,4.732182131028248
12,8,52,1,50,0.98,6,0,-4,f,m2~26-v1.tif,f5~59-v1.tif,7.450829660921444
10,6,53,1,50,0.98,6,0,-4,f,m4~49-v1.tif,f5~510-v1.tif,5.031977038988197
9,4,54,1,50,0.98,6,0,-5,f,m4~45-v1.tif,f5~510-v1.tif,8.967452593713036
12,3,55,1,50,0.98,6,0,-9,f,m4~44-v1.tif,f4~44-v1.tif,9.303592074689966
10,4,56,1,50,0.98,6,0,-6,f,m4~410-v1.tif,f5~53-v1.tif,6.684133824429884
11,3,57,1,50,0.98,6,0,-8,f,m4~44-v1.tif,f1~11-v1.tif,4.836268650972428
11,6,58,1,50,0.98,6,0,-5,f,m1~12-v1.tif,f2~21-v1.tif,4.606148295512821
10,8,59,1,50,0.98,6,0,-2,f,m2~29-v1.tif,f3~31-v1.tif,5.881158842971711
