reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,2,0,1,50,0.98,6,0,-5,f,m4~41-v1.tif,f5~58-v1.tif,9.8768985008696
10,1,1,1,50,0.98,6,0,-9,f,m2~21-v1.tif,f5~54-v1.tif,8.81123447235769
8,3,2,1,50,0.98,6,0,-5,f,m2~27-v1.tif,f1~12-v1.tif,7.773829792845831
11,4,3,1,50,0.98,6,0,-7,f,m1~19-v1.tif,f3~39-v1.tif,4.234429745034814
8,6,4,1,50,0.98,6,0,-2,f,m1~17-v1.tif,f1~15-v1.tif,5.105142828494026
9,6,5,1,50,0.98,6,0,-3,f,m3~36-v1.tif,f3~36-v1.tif,5.085330922221867
5,9,6,1,50,0.98,6,0,4,m,m2~210-v1.tif,f2~23-v1.tif,4.558491924583984
3,7,7,1,50,0.98,6,0,4,m,m4~49-v1.tif,f3~32-v1.tif,6.614695122976094
8,7,8,1,50,0.98,6,0,-1,f,m4~42-v1.tif,f5~52-v1.tif,6.613004946163894
6,5,9,1,50,0.98,6,0,-1,f,m5~52-v1.tif,f5~54-v1.tif,5.170459957881378
7,1,10,1,50,0.98,6,0,-6,f,m1~15-v1.tif,f5~56-v1.tif,5.765344351610033
7,1,11,1,50,0.98,6,0,-6,f,m5~56-v1.tif,f3~36-v1.tif,5.522037622326572
8,2,12,1,50,0.98,6,0,-6,f,m1~18-v1.tif,f4~46-v1.tif,4.087082381487273
8,4,13,1,50,0.98,6,0,-4,f,m5~54-v1.tif,f5~54-v1.tif,5.607200924772021
11,5,14,1,50,0.98,6,0,-6,f,m5~52-v1.tif,f1~14-v1.tif,6.640812509279951
10,7,15,1,50,0.98,6,0,-3,f,m3~32-v1.tif,f5~51-v1.tif,4.022207735742908
8,7,16,1,50,0.98,6,0,-1,f,m2~26-v1.tif,f4~41-v1.tif,4.249376833929278
7,6,17,1,50,0.98,6,0,-1,f,m3~32-v1.tif,f2~23-v1.tif,8.553656444450311
7,7,18,1,50,0.98,6,0,0,f,m4~41-v1.tif,f4~42-v1.tif,6.1516671740397895
9,7,19,1,50,0.98,6,0,-2,f,m1~13-v1.tif,f5~56-v1.tif,6.268268940866273
9,9,20,1,50,0.98,6,0,0,f,m5~54-v1.tif,f1~13-v1.tif,7.290219056966072
9,9,21,1,50,0.98,6,0,0,f,m3~35-v1.tif,f2~21-v1.tif,4.991414845913745
4,8,22,1,50,0.98,6,0,4,m,m3~33-v1.tif,f2~22-v1.tif,7.57756134859358
4,8,23,1,50,0.98,6,0,4,m,m1~16-v1.tif,f3~39-v1.tif,9.29131522595419
3,6,24,1,50,0.98,6,0,3,m,m3~33-v1.tif,f2~21-v1.tif,6.7478966342433715
3,3,25,1,50,0.98,6,0,0,f,m1~18-v1.tif,f3~38-v1.tif,7.125386333515586
4,7,26,1,50,0.98,6,0,3,m,m3~33-v1.tif,f3~33-v1.tif,4.46110300357774
5,10,27,1,50,0.98,6,0,5,m,m2~24-v1.tif,f4~46-v1.tif,7.519293240193321
5,10,28,1,50,0.98,6,0,5,m,m1~19-v1.tif,f1~11-v1.tif,8.304397367076344
6,10,29,1,50,0.98,6,0,4,m,m3~35-v1.tif,f1~13-v1.tif,8.73748731203947
4,9,30,1,50,0.98,6,0,5,m,m4~43-v1.tif,f5~57-v1.tif,4.645540822160701
3,8,31,1,50,0.98,6,0,5,m,m1~12-v1.tif,f3~38-v1.tif,7.9542857991484235
2,9,32,1,50,0.98,6,0,7,m,m4~46-v1.tif,f5~57-v1.tif,8.278035823178516
2,6,33,1,50,0.98,6,0,4,m,m3~36-v1.tif,f3~36-v1.tif,9.28260949651808
2,3,34,1,50,0.98,6,0,1,m,m5~53-v1.tif,f4~44-v1.tif,4.1877136661945675
2,8,35,1,50,0.98,6,0,6,m,m4~48-v1.tif,f3~35-v1.tif,5.43076475042392
2,4,36,1,50,0.98,6,0,2,m,m2~24-v1.tif,f2~21-v1.tif,6.006946028614593
3,4,37,1,50,0.98,6,0,1,m,m1~18-v1.tif,f3~38-v1.tif,6.607113643503011
1,5,38,1,50,0.98,6,0,4,m,m2~29-v1.tif,f3~36-v1.tif,4.615864054694857
-3,4,39,1,50,0.98,6,0,7,m,m5~54-v1.tif,f3~31-v1.tif,9.557945528707556
0,7,40,1,50,0.98,6,0,7,m,m5~56-v1.tif,f3~39-v1.tif,7.130815208929235
2,6,41,1,50,0.98,6,0,4,m,m3~34-v1.tif,f5~55-v1.tif,6.590168479812294
