reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,2,0,2,50,0.98,6,0,-5,f,m4~41-v1.tif,f5~58-v1.tif,6.553872584374824
8,2,1,2,50,0.98,6,0,-6,f,m2~21-v1.tif,f5~54-v1.tif,8.538910707976235
6,2,2,2,50,0.98,6,0,-4,f,m2~27-v1.tif,f1~12-v1.tif,4.894330698266495
1,3,3,2,50,0.98,6,0,2,m,m1~19-v1.tif,f3~39-v1.tif,5.745170338685932
3,4,4,2,50,0.98,6,0,1,m,m1~17-v1.tif,f1~15-v1.tif,5.089776730114042
3,5,5,2,50,0.98,6,0,2,m,m3~36-v1.tif,f3~36-v1.tif,7.878297476801834
7,5,6,2,50,0.98,6,0,-2,f,m2~210-v1.tif,f2~23-v1.tif,4.008580527022369
10,4,7,2,50,0.98,6,0,-6,f,m4~49-v1.tif,f3~32-v1.tif,4.003675856322237
10,4,8,2,50,0.98,6,0,-6,f,m4~42-v1.tif,f5~52-v1.tif,6.0598442452638
8,5,9,2,50,0.98,6,0,-3,f,m5~52-v1.tif,f5~54-v1.tif,7.034534859859416
5,7,10,2,50,0.98,6,0,2,m,m1~15-v1.tif,f5~56-v1.tif,5.343665885716402
3,4,11,2,50,0.98,6,0,1,m,m5~56-v1.tif,f3~36-v1.tif,6.2064415724912205
5,5,12,2,50,0.98,6,0,0,f,m1~18-v1.tif,f4~46-v1.tif,5.082766816826286
4,6,13,2,50,0.98,6,0,2,m,m5~54-v1.tif,f5~54-v1.tif,6.703231680029787
5,8,14,2,50,0.98,6,0,3,m,m5~52-v1.tif,f1~14-v1.tif,4.408294959748713
3,11,15,2,50,0.98,6,0,8,m,m3~32-v1.tif,f5~51-v1.tif,6.60400427139544
3,8,16,2,50,0.98,6,0,5,m,m2~26-v1.tif,f4~41-v1.tif,4.160765564377831
4,10,17,2,50,0.98,6,0,6,m,m3~32-v1.tif,f2~23-v1.tif,4.0536753964255166
8,6,18,2,50,0.98,6,0,-2,f,m4~41-v1.tif,f4~42-v1.tif,7.7034309811908805
9,10,19,2,50,0.98,6,0,1,m,m1~13-v1.tif,f5~56-v1.tif,6.591672308718228
7,5,20,2,50,0.98,6,0,-2,f,m5~54-v1.tif,f1~13-v1.tif,4.692121533748629
8,5,21,2,50,0.98,6,0,-3,f,m3~35-v1.tif,f2~21-v1.tif,7.913950208264801
4,3,22,2,50,0.98,6,0,-1,f,m3~33-v1.tif,f2~22-v1.tif,5.322250848540886
4,5,23,2,50,0.98,6,0,1,m,m1~16-v1.tif,f3~39-v1.tif,7.500296950463339
8,7,24,2,50,0.98,6,0,-1,f,m3~33-v1.tif,f2~21-v1.tif,4.776916529989958
7,7,25,2,50,0.98,6,0,0,f,m1~18-v1.tif,f3~38-v1.tif,5.744196813395561
4,6,26,2,50,0.98,6,0,2,m,m3~33-v1.tif,f3~33-v1.tif,8.747211512404206
2,4,27,2,50,0.98,6,0,2,m,m2~24-v1.tif,f4~46-v1.tif,8.802147492029116
3,3,28,2,50,0.98,6,0,0,f,m1~19-v1.tif,f1~11-v1.tif,5.2920899027561115
5,4,29,2,50,0.98,6,0,-1,f,m3~35-v1.tif,f1~13-v1.tif,4.016515518491126
6,5,30,2,50,0.98,6,0,-1,f,m4~43-v1.tif,f5~57-v1.tif,4.85212518435118
7,8,31,2,50,0.98,6,0,1,m,m1~12-v1.tif,f3~38-v1.tif,5.031308740425427
6,9,32,2,50,0.98,6,0,3,m,m4~46-v1.tif,f5~57-v1.tif,5.486275274966616
4,10,33,2,50,0.98,6,0,6,m,m3~36-v1.tif,f3~36-v1.tif,6.207455594046136
5,8,34,2,50,0.98,6,0,3,m,m5~53-v1.tif,f4~44-v1.tif,4.317734824828345
6,9,35,2,50,0.98,6,0,3,m,m4~48-v1.tif,f3~35-v1.tif,5.896555470398624
3,10,36,2,50,0.98,6,0,7,m,m2~24-v1.tif,f2~21-v1.tif,8.721430771069304
6,8,37,2,50,0.98,6,0,2,m,m1~18-v1.tif,f3~38-v1.tif,4.2431055159565005
7,10,38,2,50,0.98,6,0,3,m,m2~29-v1.tif,f3~36-v1.tif,5.570478018710423
9,7,39,2,50,0.98,6,0,-2,f,m5~54-v1.tif,f3~31-v1.tif,4.162498325101529
10,7,40,2,50,0.98,6,0,-3,f,m5~56-v1.tif,f3~39-v1.tif,7.3176016056111655
8,8,41,2,50,0.98,6,0,0,f,m3~34-v1.tif,f5~55-v1.tif,9.279958173784557
11,9,42,2,50,0.98,6,0,-2,f,m3~33-v1.tif,f3~34-v1.tif,5.707831254535853
10,8,43,2,50,0.98,6,0,-2,f,m2~27-v1.tif,f5~54-v1.tif,4.081924472216244
9,7,44,2,50,0.98,6,0,-2,f,m4~49-v1.tif,f2~26-v1.tif,6.490210226777483
10,8,45,2,50,0.98,6,0,-2,f,m2~27-v1.tif,f5~52-v1.tif,5.611028532383656
12,2,46,2,50,0.98,6,0,-10,f,m4~44-v1.tif,f5~59-v1.tif,6.8547967850650355
13,4,47,2,50,0.98,6,0,-9,f,m1~15-v1.tif,f4~42-v1.tif,6.5454179453502555
10,2,48,2,50,0.98,6,0,-8,f,m4~44-v1.tif,f2~26-v1.tif,5.659734622378042
9,2,49,2,50,0.98,6,0,-7,f,m4~43-v1.tif,f3~34-v1.tif,4.704943666871657
9,4,50,2,50,0.98,6,0,-5,f,m2~22-v1.tif,f2~25-v1.tif,6.928625630882743
10,5,51,2,50,0.98,6,0,-5,f,m1~12-v1.tif,f5~510-v1.tif,6.916842083750322
9,8,52,2,50,0.98,6,0,-1,f,m2~26-v1.tif,f5~59-v1.tif,4.006072200042808
10,9,53,2,50,0.98,6,0,-1,f,m4~49-v1.tif,f5~510-v1.tif,4.432639015084073
7,9,54,2,50,0.98,6,0,2,m,m4~45-v1.tif,f5~510-v1.tif,9.208981385115132
6,10,55,2,50,0.98,6,0,4,m,m4~44-v1.tif,f4~44-v1.tif,8.15714373770211
2,9,56,2,50,0.98,6,0,7,m,m4~410-v1.tif,f5~53-v1.tif,4.274451594766838
3,12,57,2,50,0.98,6,0,9,m,m4~44-v1.tif,f1~11-v1.tif,6.68923802439129
0,10,58,2,50,0.98,6,0,10,m,m1~12-v1.tif,f2~21-v1.tif,7.637018187005388
4,8,59,2,50,0.98,6,0,4,m,m2~29-v1.tif,f3~31-v1.tif,4.449688640004001
