reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
8,2,0,1,50,0.98,6,0,-6,f,m4~41-v1.tif,f5~58-v1.tif,7.737659303965825
8,5,1,1,50,0.98,6,0,-3,f,m2~21-v1.tif,f5~54-v1.tif,5.853262838642975
7,5,2,1,50,0.98,6,0,-2,f,m2~27-v1.tif,f1~12-v1.tif,4.434912014003099
7,7,3,1,50,0.98,6,0,0,f,m1~19-v1.tif,f3~39-v1.tif,6.240215753629426
10,7,4,1,50,0.98,6,0,-3,f,m1~17-v1.tif,f1~15-v1.tif,7.25704825414509
9,9,5,1,50,0.98,6,0,0,f,m3~36-v1.tif,f3~36-v1.tif,6.270791888344963
8,7,6,1,50,0.98,6,0,-1,f,m2~210-v1.tif,f2~23-v1.tif,4.535898107305556
7,8,7,1,50,0.98,6,0,1,m,m4~49-v1.tif,f3~32-v1.tif,4.183578203943991
6,4,8,1,50,0.98,6,0,-2,f,m4~42-v1.tif,f5~52-v1.tif,5.1652737164897875
6,3,9,1,50,0.98,6,0,-3,f,m5~52-v1.tif,f5~54-v1.tif,5.32385695072235
7,-1,10,1,50,0.98,6,0,-8,f,m1~15-v1.tif,f5~56-v1.tif,7.01483023349184
7,0,11,1,50,0.98,6,0,-7,f,m5~56-v1.tif,f3~36-v1.tif,4.86176320602687
9,1,12,1,50,0.98,6,0,-8,f,m1~18-v1.tif,f4~46-v1.tif,4.36847449233967
9,1,13,1,50,0.98,6,0,-8,f,m5~54-v1.tif,f5~54-v1.tif,4.749135906921148
7,2,14,1,50,0.98,6,0,-5,f,m5~52-v1.tif,f1~14-v1.tif,4.6850165588709896
9,4,15,1,50,0.98,6,0,-5,f,m3~32-v1.tif,f5~51-v1.tif,5.188903714549612
10,6,16,1,50,0.98,6,0,-4,f,m2~26-v1.tif,f4~41-v1.tif,5.462656005643378
8,7,17,1,50,0.98,6,0,-1,f,m3~32-v1.tif,f2~23-v1.tif,9.465848138696687
6,4,18,1,50,0.98,6,0,-2,f,m4~41-v1.tif,f4~42-v1.tif,5.145739135062508
5,6,19,1,50,0.98,6,0,1,m,m1~13-v1.tif,f5~56-v1.tif,6.03711743157532
4,8,20,1,50,0.98,6,0,4,m,m5~54-v1.tif,f1~13-v1.tif,6.955867772398584
1,8,21,1,50,0.98,6,0,7,m,m3~35-v1.tif,f2~21-v1.tif,9.196315898341597
2,8,22,1,50,0.98,6,0,6,m,m3~33-v1.tif,f2~22-v1.tif,7.17064556048385
1,8,23,1,50,0.98,6,0,7,m,m1~16-v1.tif,f3~39-v1.tif,4.646818017762824
3,9,24,1,50,0.98,6,0,6,m,m3~33-v1.tif,f2~21-v1.tif,6.011471261197764
5,8,25,1,50,0.98,6,0,3,m,m1~18-v1.tif,f3~38-v1.tif,5.1618097531500275
5,9,26,1,50,0.98,6,0,4,m,m3~33-v1.tif,f3~33-v1.tif,9.052854933505959
5,4,27,1,50,0.98,6,0,-1,f,m2~24-v1.tif,f4~46-v1.tif,5.2150137941041494
4,4,28,1,50,0.98,6,0,0,f,m1~19-v1.tif,f1~11-v1.tif,5.743249905314047
3,6,29,1,50,0.98,6,0,3,m,m3~35-v1.tif,f1~13-v1.tif,5.98711474439109
0,4,30,1,50,0.98,6,0,4,m,m4~43-v1.tif,f5~57-v1.tif,5.836761290058969
2,6,31,1,50,0.98,6,0,4,m,m1~12-v1.tif,f3~38-v1.tif,9.475855210808506
2,4,32,1,50,0.98,6,0,2,m,m4~46-v1.tif,f5~57-v1.tif,7.980231921569553
3,5,33,1,50,0.98,6,0,2,m,m3~36-v1.tif,f3~36-v1.tif,4.668921263622659
2,4,34,1,50,0.98,6,0,2,m,m5~53-v1.tif,f4~44-v1.tif,9.897807845249098
3,3,35,1,50,0.98,6,0,0,f,m4~48-v1.tif,f3~35-v1.tif,4.864901704564171
1,4,36,1,50,0.98,6,0,3,m,m2~24-v1.tif,f2~21-v1.tif,5.92129211430002
1,5,37,1,50,0.98,6,0,4,m,m1~18-v1.tif,f3~38-v1.tif,8.260306196337865
4,3,38,1,50,0.98,6,0,-1,f,m2~29-v1.tif,f3~36-v1.tif,8.160817220021205
2,2,39,1,50,0.98,6,0,0,f,m5~54-v1.tif,f3~31-v1.tif,6.432244809696064
6,5,40,1,50,0.98,6,0,-1,f,m5~56-v1.tif,f3~39-v1.tif,4.804931869474721
7,6,41,1,50,0.98,6,0,-1,f,m3~34-v1.tif,f5~55-v1.tif,7.0320835309286815
6,7,42,1,50,0.98,6,0,1,m,m3~33-v1.tif,f3~34-v1.tif,4.5576656659683845
1,5,43,1,50,0.98,6,0,4,m,m2~27-v1.tif,f5~54-v1.tif,5.232608759770309
3,3,44,1,50,0.98,6,0,0,f,m4~49-v1.tif,f2~26-v1.tif,5.5900473503103285
3,4,45,1,50,0.98,6,0,1,m,m2~27-v1.tif,f5~52-v1.tif,7.850211239743506
1,2,46,1,50,0.98,6,0,1,m,m4~44-v1.tif,f5~59-v1.tif,8.994626696226948
0,0,47,1,50,0.98,6,0,0,f,m1~15-v1.tif,f4~42-v1.tif,9.377155505594356
3,1,48,1,50,0.98,6,0,-2,f,m4~44-v1.tif,f2~26-v1.tif,4.662291348010209
4,3,49,1,50,0.98,6,0,-1,f,m4~43-v1.tif,f3~34-v1.tif,5.887715089823798
4,1,50,1,50,0.98,6,0,-3,f,m2~22-v1.tif,f2~25-v1.tif,4.498009986980325
7,2,51,1,50,0.98,6,0,-5,f,m1~12-v1.tif,f5~510-v1.tif,4.448908867852359
6,3,52,1,50,0.98,6,0,-3,f,m2~26-v1.tif,f5~59-v1.tif,4.173452810207603
5,1,53,1,50,0.98,6,0,-4,f,m4~49-v1.tif,f5~510-v1.tif,4.745773419748767
5,2,54,1,50,0.98,6,0,-3,f,m4~45-v1.tif,f5~510-v1.tif,8.300242546815687
7,-1,55,1,50,0.98,6,0,-8,f,m4~44-v1.tif,f4~44-v1.tif,5.05781799058823
6,0,56,1,50,0.98,6,0,-6,f,m4~410-v1.tif,f5~53-v1.tif,5.62539946463366
8,1,57,1,50,0.98,6,0,-7,f,m4~44-v1.tif,f1~11-v1.tif,6.579844335566829
5,2,58,1,50,0.98,6,0,-3,f,m1~12-v1.tif,f2~21-v1.tif,4.070841393400277
8,2,59,1,50,0.98,6,0,-6,f,m2~29-v1.tif,f3~31-v1.tif,8.49147873318308
