reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
8,1,0,1,50,0.98,6,0,-7,f,m4~41-v1.tif,f5~58-v1.tif,5.407645261360163
10,1,1,1,50,0.98,6,0,-9,f,m2~21-v1.tif,f5~54-v1.tif,9.05813072080429
12,1,2,1,50,0.98,6,0,-11,f,m2~27-v1.tif,f1~12-v1.tif,4.67280666891107
8,1,3,1,50,0.98,6,0,-7,f,m1~19-v1.tif,f3~39-v1.tif,6.397839221923107
8,0,4,1,50,0.98,6,0,-8,f,m1~17-v1.tif,f1~15-v1.tif,4.013635884826485
8,2,5,1,50,0.98,6,0,-6,f,m3~36-v1.tif,f3~36-v1.tif,6.526957288426934
7,6,6,1,50,0.98,6,0,-1,f,m2~210-v1.tif,f2~23-v1.tif,4.1265665796015325
6,5,7,1,50,0.98,6,0,-1,f,m4~49-v1.tif,f3~32-v1.tif,4.478356580075661
4,9,8,1,50,0.98,6,0,5,m,m4~42-v1.tif,f5~52-v1.tif,5.048960647299921
5,12,9,1,50,0.98,6,0,7,m,m5~52-v1.tif,f5~54-v1.tif,4.030786252296501
6,11,10,1,50,0.98,6,0,5,m,m1~15-v1.tif,f5~56-v1.tif,6.246307612835458
1,8,11,1,50,0.98,6,0,7,m,m5~56-v1.tif,f3~36-v1.tif,4.515563768133
2,4,12,1,50,0.98,6,0,2,m,m1~18-v1.tif,f4~46-v1.tif,4.037096312233204
2,3,13,1,50,0.98,6,0,1,m,m5~54-v1.tif,f5~54-v1.tif,5.379842412746354
2,0,14,1,50,0.98,6,0,-2,f,m5~52-v1.tif,f1~14-v1.tif,4.369590056837057
4,0,15,1,50,0.98,6,0,-4,f,m3~32-v1.tif,f5~51-v1.tif,6.8445109226951555
3,-1,16,1,50,0.98,6,0,-4,f,m2~26-v1.tif,f4~41-v1.tif,7.153446441505482
3,-1,17,1,50,0.98,6,0,-4,f,m3~32-v1.tif,f2~23-v1.tif,4.119069053810468
4,-1,18,1,50,0.98,6,0,-5,f,m4~41-v1.tif,f4~42-v1.tif,4.681390686834259
2,0,19,1,50,0.98,6,0,-2,f,m1~13-v1.tif,f5~56-v1.tif,6.8647699180928985
5,2,20,1,50,0.98,6,0,-3,f,m5~54-v1.tif,f1~13-v1.tif,4.917319018779546
3,2,21,1,50,0.98,6,0,-1,f,m3~35-v1.tif,f2~21-v1.tif,4.053968249179788
