reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
8,1,0,2,50,0.98,6,0,-7,f,m4~41-v1.tif,f5~58-v1.tif,8.270934990644877
9,3,1,2,50,0.98,6,0,-6,f,m2~21-v1.tif,f5~54-v1.tif,4.406317630938358
9,2,2,2,50,0.98,6,0,-7,f,m2~27-v1.tif,f1~12-v1.tif,5.294413753486706
6,4,3,2,50,0.98,6,0,-2,f,m1~19-v1.tif,f3~39-v1.tif,4.3978068624745426
7,5,4,2,50,0.98,6,0,-2,f,m1~17-v1.tif,f1~15-v1.tif,4.801701790570774
6,5,5,2,50,0.98,6,0,-1,f,m3~36-v1.tif,f3~36-v1.tif,4.409347368393663
5,7,6,2,50,0.98,6,0,2,m,m2~210-v1.tif,f2~23-v1.tif,7.484844732561158
2,10,7,2,50,0.98,6,0,8,m,m4~49-v1.tif,f3~32-v1.tif,4.958187991996817
-1,10,8,2,50,0.98,6,0,11,m,m4~42-v1.tif,f5~52-v1.tif,7.873420084632729
1,10,9,2,50,0.98,6,0,9,m,m5~52-v1.tif,f5~54-v1.tif,4.892553324379488
2,12,10,2,50,0.98,6,0,10,m,m1~15-v1.tif,f5~56-v1.tif,4.206007976741399
1,12,11,2,50,0.98,6,0,11,m,m5~56-v1.tif,f3~36-v1.tif,5.563606319880847
3,14,12,2,50,0.98,6,0,11,m,m1~18-v1.tif,f4~46-v1.tif,4.000634061289754
1,16,13,2,50,0.98,6,0,15,m,m5~54-v1.tif,f5~54-v1.tif,4.385037802493409
2,13,14,2,50,0.98,6,0,11,m,m5~52-v1.tif,f1~14-v1.tif,4.276118303706482
5,10,15,2,50,0.98,6,0,5,m,m3~32-v1.tif,f5~51-v1.tif,7.3029178313682115
3,10,16,2,50,0.98,6,0,7,m,m2~26-v1.tif,f4~41-v1.tif,5.224368823334721
4,9,17,2,50,0.98,6,0,5,m,m3~32-v1.tif,f2~23-v1.tif,5.200336423090016
6,8,18,2,50,0.98,6,0,2,m,m4~41-v1.tif,f4~42-v1.tif,4.2853999627835835
6,5,19,2,50,0.98,6,0,-1,f,m1~13-v1.tif,f5~56-v1.tif,6.565928098523924
4,5,20,2,50,0.98,6,0,1,m,m5~54-v1.tif,f1~13-v1.tif,4.402100778082445
1,4,21,2,50,0.98,6,0,3,m,m3~35-v1.tif,f2~21-v1.tif,4.676067197436961
4,4,22,2,50,0.98,6,0,0,f,m3~33-v1.tif,f2~22-v1.tif,4.210891156027335
2,4,23,2,50,0.98,6,0,2,m,m1~16-v1.tif,f3~39-v1.tif,5.95890534846835
2,6,24,2,50,0.98,6,0,4,m,m3~33-v1.tif,f2~21-v1.tif,7.082987552248985
3,6,25,2,50,0.98,6,0,3,m,m1~18-v1.tif,f3~38-v1.tif,7.2895971820237415
4,9,26,2,50,0.98,6,0,5,m,m3~33-v1.tif,f3~33-v1.tif,8.848060475237087
4,7,27,2,50,0.98,6,0,3,m,m2~24-v1.tif,f4~46-v1.tif,5.457892595841817
3,6,28,2,50,0.98,6,0,3,m,m1~19-v1.tif,f1~11-v1.tif,8.762839961802623
5,8,29,2,50,0.98,6,0,3,m,m3~35-v1.tif,f1~13-v1.tif,5.397851962160923
4,6,30,2,50,0.98,6,0,2,m,m4~43-v1.tif,f5~57-v1.tif,7.10146041584019
5,6,31,2,50,0.98,6,0,1,m,m1~12-v1.tif,f3~38-v1.tif,5.047703594125236
4,6,32,2,50,0.98,6,0,2,m,m4~46-v1.tif,f5~57-v1.tif,9.57872280855426
3,8,33,2,50,0.98,6,0,5,m,m3~36-v1.tif,f3~36-v1.tif,7.416853067776955
2,8,34,2,50,0.98,6,0,6,m,m5~53-v1.tif,f4~44-v1.tif,7.202198531672317
1,11,35,2,50,0.98,6,0,10,m,m4~48-v1.tif,f3~35-v1.tif,4.266145582674358
-1,9,36,2,50,0.98,6,0,10,m,m2~24-v1.tif,f2~21-v1.tif,6.395904098030204
-1,10,37,2,50,0.98,6,0,11,m,m1~18-v1.tif,f3~38-v1.tif,5.3684611447144395
0,7,38,2,50,0.98,6,0,7,m,m2~29-v1.tif,f3~36-v1.tif,5.850959669244967
-1,8,39,2,50,0.98,6,0,9,m,m5~54-v1.tif,f3~31-v1.tif,6.436596515034425
-1,7,40,2,50,0.98,6,0,8,m,m5~56-v1.tif,f3~39-v1.tif,4.893167127439205
0,7,41,2,50,0.98,6,0,7,m,m3~34-v1.tif,f5~55-v1.tif,6.142230182986731
-2,11,42,2,50,0.98,6,0,13,m,m3~33-v1.tif,f3~34-v1.tif,7.848003001620466
-2,12,43,2,50,0.98,6,0,14,m,m2~27-v1.tif,f5~54-v1.tif,6.355082069442392
-4,12,44,2,50,0.98,6,0,16,m,m4~49-v1.tif,f2~26-v1.tif,7.471783777677816
-2,11,45,2,50,0.98,6,0,13,m,m2~27-v1.tif,f5~52-v1.tif,6.8220766050519215
-2,11,46,2,50,0.98,6,0,13,m,m4~44-v1.tif,f5~59-v1.tif,6.496149028469301
0,10,47,2,50,0.98,6,0,10,m,m1~15-v1.tif,f4~42-v1.tif,5.766540554700684
1,9,48,2,50,0.98,6,0,8,m,m4~44-v1.tif,f2~26-v1.tif,4.301639285608069
1,11,49,2,50,0.98,6,0,10,m,m4~43-v1.tif,f3~34-v1.tif,8.663191103857308
0,10,50,2,50,0.98,6,0,10,m,m2~22-v1.tif,f2~25-v1.tif,6.012121268089867
-1,9,51,2,50,0.98,6,0,10,m,m1~12-v1.tif,f5~510-v1.tif,7.25205027186281
-1,9,52,2,50,0.98,6,0,10,m,m2~26-v1.tif,f5~59-v1.tif,4.078554262703183
0,10,53,2,50,0.98,6,0,10,m,m4~49-v1.tif,f5~510-v1.tif,6.343172513381083
2,7,54,2,50,0.98,6,0,5,m,m4~45-v1.tif,f5~510-v1.tif,6.094592568460385
2,4,55,2,50,0.98,6,0,2,m,m4~44-v1.tif,f4~44-v1.tif,4.141010084962031
2,3,56,2,50,0.98,6,0,1,m,m4~410-v1.tif,f5~53-v1.tif,5.213133068729201
2,1,57,2,50,0.98,6,0,-1,f,m4~44-v1.tif,f1~11-v1.tif,4.316027666957849
2,1,58,2,50,0.98,6,0,-1,f,m1~12-v1.tif,f2~21-v1.tif,4.184588905912574
1,1,59,2,50,0.98,6,0,0,f,m2~29-v1.tif,f3~31-v1.tif,4.94759047500936
