reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
8,2,0,2,50,0.98,6,0,-6,f,m4~41-v1.tif,f5~58-v1.tif,4.111492283701079
7,4,1,2,50,0.98,6,0,-3,f,m2~21-v1.tif,f5~54-v1.tif,7.773889566213176
7,6,2,2,50,0.98,6,0,-1,f,m2~27-v1.tif,f1~12-v1.tif,4.448790187687401
8,5,3,2,50,0.98,6,0,-3,f,m1~19-v1.tif,f3~39-v1.tif,5.61855297531333
9,6,4,2,50,0.98,6,0,-3,f,m1~17-v1.tif,f1~15-v1.tif,5.982558919501142
6,4,5,2,50,0.98,6,0,-2,f,m3~36-v1.tif,f3~36-v1.tif,7.0434045462032495
4,3,6,2,50,0.98,6,0,-1,f,m2~210-v1.tif,f2~23-v1.tif,4.6513310384977204
2,6,7,2,50,0.98,6,0,4,m,m4~49-v1.tif,f3~32-v1.tif,4.766871583166923
0,8,8,2,50,0.98,6,0,8,m,m4~42-v1.tif,f5~52-v1.tif,4.4582046291722035
3,9,9,2,50,0.98,6,0,6,m,m5~52-v1.tif,f5~54-v1.tif,4.018951927404159
2,7,10,2,50,0.98,6,0,5,m,m1~15-v1.tif,f5~56-v1.tif,4.114344765239717
4,3,11,2,50,0.98,6,0,-1,f,m5~56-v1.tif,f3~36-v1.tif,4.333331212484117
2,7,12,2,50,0.98,6,0,5,m,m1~18-v1.tif,f4~46-v1.tif,4.007112708578932
2,3,13,2,50,0.98,6,0,1,m,m5~54-v1.tif,f5~54-v1.tif,6.625116739285574
3,4,14,2,50,0.98,6,0,1,m,m5~52-v1.tif,f1~14-v1.tif,5.464253801108485
5,1,15,2,50,0.98,6,0,-4,f,m3~32-v1.tif,f5~51-v1.tif,5.501650297549424
5,6,16,2,50,0.98,6,0,1,m,m2~26-v1.tif,f4~41-v1.tif,4.033994698003169
6,4,17,2,50,0.98,6,0,-2,f,m3~32-v1.tif,f2~23-v1.tif,6.677077659017979
7,2,18,2,50,0.98,6,0,-5,f,m4~41-v1.tif,f4~42-v1.tif,5.248146870963295
7,0,19,2,50,0.98,6,0,-7,f,m1~13-v1.tif,f5~56-v1.tif,6.64487506807757
5,3,20,2,50,0.98,6,0,-2,f,m5~54-v1.tif,f1~13-v1.tif,4.517532589254618
4,2,21,2,50,0.98,6,0,-2,f,m3~35-v1.tif,f2~21-v1.tif,9.154923145080502
3,2,22,2,50,0.98,6,0,-1,f,m3~33-v1.tif,f2~22-v1.tif,4.136098512848035
2,2,23,2,50,0.98,6,0,0,f,m1~16-v1.tif,f3~39-v1.tif,4.163212667225012
3,4,24,2,50,0.98,6,0,1,m,m3~33-v1.tif,f2~21-v1.tif,4.21866743158808
2,5,25,2,50,0.98,6,0,3,m,m1~18-v1.tif,f3~38-v1.tif,4.6129784561679745
4,3,26,2,50,0.98,6,0,-1,f,m3~33-v1.tif,f3~33-v1.tif,4.322733630313852
