reward_f,reward_m,trial,run,theta,decay_parameter,diffusion_noise_sigma,diffusion_noise_mean,reward_delta,high_value_identity,m_image,f_image,ITI
7,3,0,1,50,0.98,6,0,-4,f,m4~41-v1.tif,f5~58-v1.tif,7.573878442119843
6,2,1,1,50,0.98,6,0,-4,f,m2~21-v1.tif,f5~54-v1.tif,4.7796885536639016
7,3,2,1,50,0.98,6,0,-4,f,m2~27-v1.tif,f1~12-v1.tif,5.554098456540564
2,5,3,1,50,0.98,6,0,3,m,m1~19-v1.tif,f3~39-v1.tif,4.452180219433114
2,5,4,1,50,0.98,6,0,3,m,m1~17-v1.tif,f1~15-v1.tif,8.408510689902867
4,5,5,1,50,0.98,6,0,1,m,m3~36-v1.tif,f3~36-v1.tif,7.753358807240113
3,2,6,1,50,0.98,6,0,-1,f,m2~210-v1.tif,f2~23-v1.tif,4.72232533787181
2,4,7,1,50,0.98,6,0,2,m,m4~49-v1.tif,f3~32-v1.tif,9.532527280385864
1,2,8,1,50,0.98,6,0,1,m,m4~42-v1.tif,f5~52-v1.tif,8.245270121361074
0,4,9,1,50,0.98,6,0,4,m,m5~52-v1.tif,f5~54-v1.tif,5.7157278213802725
0,2,10,1,50,0.98,6,0,2,m,m1~15-v1.tif,f5~56-v1.tif,8.324186035367909
1,-1,11,1,50,0.98,6,0,-2,f,m5~56-v1.tif,f3~36-v1.tif,7.001434541247079
3,-2,12,1,50,0.98,6,0,-5,f,m1~18-v1.tif,f4~46-v1.tif,5.892187751450011
1,1,13,1,50,0.98,6,0,0,f,m5~54-v1.tif,f5~54-v1.tif,8.35275185333781
1,2,14,1,50,0.98,6,0,1,m,m5~52-v1.tif,f1~14-v1.tif,5.873029055352226
0,0,15,1,50,0.98,6,0,0,f,m3~32-v1.tif,f5~51-v1.tif,5.080144144221497
0,0,16,1,50,0.98,6,0,0,f,m2~26-v1.tif,f4~41-v1.tif,5.579277284278691
1,0,17,1,50,0.98,6,0,-1,f,m3~32-v1.tif,f2~23-v1.tif,8.039101226777621
5,-1,18,1,50,0.98,6,0,-6,f,m4~41-v1.tif,f4~42-v1.tif,7.097027590028537
5,4,19,1,50,0.98,6,0,-1,f,m1~13-v1.tif,f5~56-v1.tif,5.71842234875821
6,4,20,1,50,0.98,6,0,-2,f,m5~54-v1.tif,f1~13-v1.tif,7.79905284652873
7,2,21,1,50,0.98,6,0,-5,f,m3~35-v1.tif,f2~21-v1.tif,8.029227375399309
6,4,22,1,50,0.98,6,0,-2,f,m3~33-v1.tif,f2~22-v1.tif,4.350126904715676
2,3,23,1,50,0.98,6,0,1,m,m1~16-v1.tif,f3~39-v1.tif,4.57329293045627
0,4,24,1,50,0.98,6,0,4,m,m3~33-v1.tif,f2~21-v1.tif,5.0098857934298
-2,7,25,1,50,0.98,6,0,9,m,m1~18-v1.tif,f3~38-v1.tif,4.699406179428106
1,5,26,1,50,0.98,6,0,4,m,m3~33-v1.tif,f3~33-v1.tif,5.555545013392747
3,5,27,1,50,0.98,6,0,2,m,m2~24-v1.tif,f4~46-v1.tif,6.920804778062902
1,3,28,1,50,0.98,6,0,2,m,m1~19-v1.tif,f1~11-v1.tif,6.665230642884321
-1,7,29,1,50,0.98,6,0,8,m,m3~35-v1.tif,f1~13-v1.tif,7.361954975330121
